Date,Product_ID,Units_Sold,Sales_Price,Inventory_Level,Reorder_Threshold,Lead_Time,Supplier_Reliability
2024-01-01,P001,43,81.69,370,121,9,95.78
2024-01-01,P002,25,24.04,314,124,14,77.77
2024-01-01,P003,15,87.96,199,73,14,86.98
2024-01-01,P004,7,11.85,357,137,9,89.87
2024-01-01,P005,48,94.47,485,113,11,88.16
2024-01-02,P001,25,65.57,413,71,11,94.16
2024-01-02,P002,48,12.08,158,91,5,86.05
2024-01-02,P003,32,97.64,370,111,9,97.47
2024-01-02,P004,48,56.28,419,52,6,72.13
2024-01-02,P005,41,64.68,120,122,9,75.88
2024-01-03,P001,43,11.19,188,109,11,79.69
2024-01-03,P002,18,82.76,364,139,14,74.12
2024-01-03,P003,6,71.58,466,109,12,87.6
2024-01-03,P004,11,64.9,363,96,9,92.66
2024-01-03,P005,39,91.84,149,53,13,83.69
2024-01-04,P001,6,48.26,153,53,14,92.22
2024-01-04,P002,33,97.26,317,93,6,87.38
2024-01-04,P003,38,45.56,369,144,3,90.76
2024-01-04,P004,19,17.96,314,111,4,95.99
2024-01-04,P005,44,86.01,336,131,4,98.43
2024-01-05,P001,28,42.11,351,109,10,81.92
2024-01-05,P002,49,22.68,114,94,11,87.34
2024-01-05,P003,5,11.41,108,137,13,95.13
2024-01-05,P004,5,27.88,162,60,6,72.24
2024-01-05,P005,21,74.02,388,54,6,76.19
2024-01-06,P001,46,42.26,140,77,3,72.91
2024-01-06,P002,11,86.5,367,83,3,98.76
2024-01-06,P003,37,15.72,161,137,3,85.6
2024-01-06,P004,41,75.66,459,135,4,72.71
2024-01-06,P005,31,60.51,326,96,8,74.5
2024-01-07,P001,18,86.4,104,139,12,70.36
2024-01-07,P002,18,54.44,492,128,9,95.56
2024-01-07,P003,19,19.98,479,126,7,71.25
2024-01-07,P004,36,67.28,151,145,13,78.06
2024-01-07,P005,8,91.68,330,64,10,85.57
2024-01-08,P001,47,28.28,112,81,4,87.88
2024-01-08,P002,11,36.08,185,77,14,90.36
2024-01-08,P003,6,66.19,161,106,4,87.68
2024-01-08,P004,10,51.09,207,93,4,82.28
2024-01-08,P005,24,90.33,430,141,4,70.61
2024-01-09,P001,29,38.62,324,50,9,92.2
2024-01-09,P002,31,48.44,215,126,5,94.95
2024-01-09,P003,45,37.43,297,121,3,85.13
2024-01-09,P004,31,47.57,264,146,13,81.9
2024-01-09,P005,46,40.39,414,81,9,88.71
2024-01-10,P001,36,60.23,279,111,9,93.27
2024-01-10,P002,16,32.66,485,52,5,86.73
2024-01-10,P003,41,35.64,180,108,5,78.27
2024-01-10,P004,6,55.24,153,136,13,82.72
2024-01-10,P005,41,41.06,484,68,7,84.55
2024-01-11,P001,6,57.78,317,81,7,71.63
2024-01-11,P002,10,31.78,423,104,14,73.47
2024-01-11,P003,15,43.27,354,87,7,81.75
2024-01-11,P004,28,52.33,197,119,11,81.93
2024-01-11,P005,26,58.22,339,65,11,70.5
2024-01-12,P001,37,23.56,286,119,10,86.16
2024-01-12,P002,20,13.67,247,108,13,84.35
2024-01-12,P003,40,11.49,246,69,13,92.11
2024-01-12,P004,36,18.66,227,88,4,91.01
2024-01-12,P005,22,85.39,366,141,14,93.66
2024-01-13,P001,29,28.82,397,148,7,89.22
2024-01-13,P002,11,69.4,445,109,11,76.32
2024-01-13,P003,6,99.66,353,61,10,98.66
2024-01-13,P004,9,91.04,108,148,14,90.3
2024-01-13,P005,23,75.34,230,69,10,70.02
2024-01-14,P001,28,46.41,260,73,14,97.66
2024-01-14,P002,15,94.21,203,133,9,95.73
2024-01-14,P003,39,43.51,198,74,7,84.55
2024-01-14,P004,33,35.55,465,131,10,74.71
2024-01-14,P005,6,72.27,307,110,9,88.23
2024-01-15,P001,45,25.83,167,82,4,89.62
2024-01-15,P002,18,39.29,483,57,4,78.9
2024-01-15,P003,11,74.88,227,82,5,78.22
2024-01-15,P004,16,55.79,474,71,5,88.41
2024-01-15,P005,34,97.57,464,100,4,89.78
2024-01-16,P001,12,66.8,325,70,13,87.6
2024-01-16,P002,34,68.06,466,113,4,74.19
2024-01-16,P003,37,27.57,416,97,8,89.45
2024-01-16,P004,23,61.48,291,98,12,87.19
2024-01-16,P005,21,99.51,257,142,11,85.61
2024-01-17,P001,10,43.31,332,86,4,88.18
2024-01-17,P002,28,39.77,401,102,10,91.15
2024-01-17,P003,35,96.73,215,112,9,75.08
2024-01-17,P004,25,27.18,260,116,10,72.97
2024-01-17,P005,22,60.11,322,103,5,71.01
2024-01-18,P001,7,61.31,379,81,14,88.81
2024-01-18,P002,26,42.28,226,76,12,76.5
2024-01-18,P003,46,88.96,372,82,12,79.17
2024-01-18,P004,13,73.22,275,88,6,77.71
2024-01-18,P005,33,36.69,125,148,14,90.79
2024-01-19,P001,29,65.04,415,56,3,75.26
2024-01-19,P002,40,81.85,420,57,5,91.05
2024-01-19,P003,20,14.57,470,136,5,87.49
2024-01-19,P004,19,43.8,421,81,8,87.05
2024-01-19,P005,27,70.48,150,74,8,93.02
2024-01-20,P001,26,63.17,441,98,11,85.12
2024-01-20,P002,46,84.03,153,109,9,75.49
2024-01-20,P003,41,57.0,152,109,4,86.49
2024-01-20,P004,48,96.87,202,117,10,83.71
2024-01-20,P005,10,14.65,471,143,8,73.02
2024-01-21,P001,39,67.37,407,65,3,84.4
2024-01-21,P002,17,97.26,205,79,7,84.84
2024-01-21,P003,23,81.57,418,68,6,87.83
2024-01-21,P004,32,76.96,445,139,13,93.32
2024-01-21,P005,27,48.55,495,50,7,94.36
2024-01-22,P001,5,49.81,195,97,14,75.56
2024-01-22,P002,29,69.42,472,50,3,79.58
2024-01-22,P003,20,56.5,291,112,5,81.77
2024-01-22,P004,9,65.05,346,116,14,81.63
2024-01-22,P005,16,60.94,185,106,3,72.41
2024-01-23,P001,33,20.45,168,96,4,85.1
2024-01-23,P002,34,86.99,303,65,11,77.32
2024-01-23,P003,30,78.7,440,88,10,81.99
2024-01-23,P004,40,25.59,321,72,12,81.72
2024-01-23,P005,14,95.42,199,83,8,72.37
2024-01-24,P001,35,11.38,246,107,5,86.66
2024-01-24,P002,36,87.08,424,53,4,81.34
2024-01-24,P003,20,16.35,346,51,11,73.35
2024-01-24,P004,32,62.72,439,73,6,74.4
2024-01-24,P005,16,44.94,479,82,3,84.8
2024-01-25,P001,37,83.01,200,61,7,85.91
2024-01-25,P002,7,83.84,267,123,11,93.13
2024-01-25,P003,47,27.62,496,61,5,91.59
2024-01-25,P004,35,43.95,352,84,6,79.05
2024-01-25,P005,27,16.41,363,142,11,84.04
2024-01-26,P001,30,71.35,214,56,13,98.24
2024-01-26,P002,8,72.36,213,124,3,96.04
2024-01-26,P003,33,13.53,316,70,12,88.22
2024-01-26,P004,40,25.97,291,148,4,88.63
2024-01-26,P005,39,47.14,195,73,6,96.31
2024-01-27,P001,27,93.77,136,61,12,81.88
2024-01-27,P002,17,76.59,454,79,12,74.17
2024-01-27,P003,21,58.09,183,138,12,91.79
2024-01-27,P004,26,36.79,118,98,6,75.79
2024-01-27,P005,40,10.98,332,68,12,85.84
2024-01-28,P001,16,41.94,383,127,7,87.74
2024-01-28,P002,35,95.55,438,65,10,77.76
2024-01-28,P003,9,36.39,124,101,14,81.19
2024-01-28,P004,25,77.71,250,65,11,80.51
2024-01-28,P005,43,18.21,141,107,3,76.29
2024-01-29,P001,43,99.63,221,54,3,72.59
2024-01-29,P002,39,89.89,334,124,14,80.27
2024-01-29,P003,22,97.18,108,123,3,76.73
2024-01-29,P004,48,88.02,329,56,4,76.13
2024-01-29,P005,17,30.03,492,99,6,76.74
2024-01-30,P001,31,73.56,104,78,6,81.56
2024-01-30,P002,41,30.99,235,114,10,82.49
2024-01-30,P003,26,83.15,426,138,14,83.84
2024-01-30,P004,49,77.8,169,80,12,71.08
2024-01-30,P005,23,79.94,281,88,3,90.25
